Site	tree1	tree2	tree3	tree4	tree5	tree6	tree7	tree8	tree9	tree10	tree11	tree12	tree13	tree14	tree15
64	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
65	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
66	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
67	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
68	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
69	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
70	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
71	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
72	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
73	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
74	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
75	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
76	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
77	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
78	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
79	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
80	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
81	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
82	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
83	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
84	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
85	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
86	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
87	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
88	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
89	5.99266848	5.95126087	5.95053232	6.09478823	6.08617691	6.08638429	6.08489664	6.03900789	6.04032086	6.06580230	6.04305213	6.04883711	6.04418019	6.04327651	6.06738702
90	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
91	6.75231280	6.72318765	6.52418963	6.75256194	6.72811617	6.66816657	6.75046837	6.55593380	6.64507820	6.65607843	6.55590867	6.72487344	6.73204940	6.66698321	6.73849220
92	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
93	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
94	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
95	4.63791199	4.64238779	4.65414804	4.55386937	4.55989965	4.55720115	4.55300063	4.57428848	4.57074509	4.56554686	4.56365820	4.55514632	4.55737158	4.55544246	4.55331904
96	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
97	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
98	4.83244836	4.83684050	4.84766012	4.72531075	4.72220755	4.73001907	4.72656016	4.73442877	4.72553872	4.72824037	4.74035636	4.72701707	4.72310880	4.73117090	4.72592757
99	5.77034413	5.73646460	5.74623776	5.81135922	5.80304050	5.80621569	5.80426604	5.78314788	5.77815196	5.79629799	5.78278578	5.77646408	5.77196806	5.77428634	5.78833533
100	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
101	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
102	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
103	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
104	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
105	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
106	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
107	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
108	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
109	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
110	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
111	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
112	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
113	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
114	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
115	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
116	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
117	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
118	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
119	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
120	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
121	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
122	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
123	5.73483931	5.74649738	5.73727929	5.82009755	5.82037443	5.81617372	5.82206906	5.81215643	5.81481948	5.81356534	5.81521806	5.82735183	5.84305292	5.83667559	5.84073165
124	5.73483931	5.74649738	5.73727929	5.82009755	5.82037443	5.81617372	5.82206906	5.81215643	5.81481948	5.81356534	5.81521806	5.82735183	5.84305292	5.83667559	5.84073165
125	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
126	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
127	7.82380076	7.81671883	7.78813327	7.63777800	7.63198267	7.69581157	7.63437869	7.20341359	7.14908518	7.13886889	7.64271196	7.62371484	7.63364405	7.69103134	7.61907051
128	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
129	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
130	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
131	5.51696049	5.51208336	5.49445941	5.54292343	5.53392740	5.53513099	5.54375811	5.51339441	5.51948237	5.52206228	5.52813251	5.54139013	5.55918307	5.55657948	5.55941601
132	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
133	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
134	5.94077289	5.91688294	5.93879167	6.35337940	6.35368602	6.37097297	6.35092864	6.39925888	6.38035893	6.38381656	6.38640415	6.34657493	6.35199758	6.36891486	6.35582294
135	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
136	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
137	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
138	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
139	4.38142560	4.38854245	4.38326824	4.38743117	4.39572638	4.38536252	4.38779811	4.38910142	4.39423319	4.38815710	4.38491424	4.39419184	4.39387375	4.38511695	4.38950714
140	5.13680679	5.12335104	5.12579480	5.28168501	5.27762416	5.27772870	5.28075026	5.28110641	5.27861195	5.28154819	5.27837186	5.27449560	5.27659147	5.27675600	5.27993870
141	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
142	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
143	4.83244836	4.83684050	4.84766012	4.72531075	4.72220755	4.73001907	4.72656016	4.73442877	4.72553872	4.72824037	4.74035636	4.72701707	4.72310880	4.73117090	4.72592757
144	4.70487484	4.71316792	4.70484670	4.69537322	4.69578730	4.69569740	4.69736515	4.68492712	4.68675752	4.68791019	4.69620485	4.70232931	4.69612316	4.69723166	4.69813896
145	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
146	6.10779085	6.11904177	6.20283501	6.14553653	6.14910274	6.21268828	6.14704502	6.30297813	6.27044389	6.26951439	6.25413227	6.15611235	6.15170048	6.21090976	6.14703752
147	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608	1.30552608
148	6.97054312	6.94056697	6.71087109	6.99418671	6.96982828	6.90676020	6.99157901	6.77292790	6.87847840	6.89066035	6.77320763	6.96502046	6.97364770	6.90544298	6.98124566
149	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
150	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
